MonthYear,Code,Country,Continent,WHO_region,Monthly New Deaths,Monthly Vaccinations,Population,New_Deaths_per_100K,Vaccinated_per_1M
1/1/2020,Argentina,Argentina,Latin America and the Caribbean,AMRO,0,0,45921761,0,0
1/1/2020,Australia,Australia,Oceania,WPRO,0,0,26017767,0,0
1/1/2020,Colombia,Colombia,Latin America and the Caribbean,AMRO,0,0,51832231,0,0
1/1/2020,France,France,Europe,EURO,0,0,65526369,0,0
1/1/2020,Germany,Germany,Europe,EURO,0,0,84252947,0,0
1/1/2020,India,India,Asia,SEARO,0,0,1403754381,0,0
1/1/2020,Indonesia,Indonesia,Asia,SEARO,0,0,278586508,0,0
1/1/2020,Iran,Iran,,EMRO,0,0,85874667,0,0
1/1/2020,Italy,Italy,Europe,EURO,0,0,60306185,0,0
1/1/2020,Japan,Japan,Asia,WPRO,0,0,125798669,0,0
1/1/2020,Mexico,Mexico,Latin America and the Caribbean,AMRO,0,0,131303955,0,0
1/1/2020,Netherlands,Netherlands,Europe,EURO,0,0,17201245,0,0
1/1/2020,Poland,Poland,Europe,EURO,0,0,37774045,0,0
1/1/2020,Spain,Spain,Europe,EURO,0,0,46786482,0,0
1/1/2020,Turkey,Turkey,Asia,EURO,0,0,85927644,0,0
1/1/2020,United Kingdom,United Kingdom,,EURO,0,0,68510300,0,0
1/1/2020,United States,United States,,AMRO,0,0,334400597,0,0
1/1/2020,Vietnam,Vietnam,,WPRO,0,0,98871712,0,0
2/1/2020,Argentina,Argentina,Latin America and the Caribbean,AMRO,0,0,45921761,0,0
2/1/2020,Australia,Australia,Oceania,WPRO,0,0,26017767,0,0
2/1/2020,Colombia,Colombia,Latin America and the Caribbean,AMRO,0,0,51832231,0,0
2/1/2020,France,France,Europe,EURO,2,0,65526369,0.003052206,0
2/1/2020,Germany,Germany,Europe,EURO,1,0,84252947,0.001186902,0
2/1/2020,India,India,Asia,SEARO,0,0,1403754381,0,0
2/1/2020,Indonesia,Indonesia,Asia,SEARO,0,0,278586508,0,0
2/1/2020,Iran,Iran,,EMRO,86,0,85874667,0.100145949,0
2/1/2020,Italy,Italy,Europe,EURO,21,0,60306185,0.034822299,0
2/1/2020,Japan,Japan,Asia,WPRO,5,0,125798669,0.003974605,0
2/1/2020,Mexico,Mexico,Latin America and the Caribbean,AMRO,0,0,131303955,0,0
2/1/2020,Netherlands,Netherlands,Europe,EURO,0,0,17201245,0,0
2/1/2020,Poland,Poland,Europe,EURO,0,0,37774045,0,0
2/1/2020,Spain,Spain,Europe,EURO,1,0,46786482,0.00213737,0
2/1/2020,Turkey,Turkey,Asia,EURO,0,0,85927644,0,0
2/1/2020,United Kingdom,United Kingdom,,EURO,0,0,68510300,0,0
2/1/2020,United States,United States,,AMRO,1,0,334400597,0.000299043,0
2/1/2020,Vietnam,Vietnam,,WPRO,0,0,98871712,0,0
3/1/2020,Argentina,Argentina,Latin America and the Caribbean,AMRO,91,0,45921761,0.198163132,0
3/1/2020,Australia,Australia,Oceania,WPRO,18,0,26017767,0.069183493,0
3/1/2020,Colombia,Colombia,Latin America and the Caribbean,AMRO,6,0,51832231,0.011575809,0
3/1/2020,France,France,Europe,EURO,3015,0,65526369,4.601201083,0
3/1/2020,Germany,Germany,Europe,EURO,2300,0,84252947,2.729874837,0
3/1/2020,India,India,Asia,SEARO,32,0,1403754381,0.002279601,0
3/1/2020,Indonesia,Indonesia,Asia,SEARO,136,0,278586508,0.04881787,0
3/1/2020,Iran,Iran,,EMRO,5710,0,85874667,6.649225202,0
3/1/2020,Italy,Italy,Europe,EURO,11570,0,60306185,19.18542849,0
3/1/2020,Japan,Japan,Asia,WPRO,51,0,125798669,0.040540969,0
3/1/2020,Mexico,Mexico,Latin America and the Caribbean,AMRO,52,0,131303955,0.039602767,0
3/1/2020,Netherlands,Netherlands,Europe,EURO,846,0,17201245,4.91824865,0
3/1/2020,Poland,Poland,Europe,EURO,31,0,37774045,0.082066932,0
3/1/2020,Spain,Spain,Europe,EURO,8576,0,46786482,18.3300809,0
3/1/2020,Turkey,Turkey,Asia,EURO,168,0,85927644,0.195513332,0
3/1/2020,United Kingdom,United Kingdom,,EURO,3181,0,68510300,4.643097461,0
3/1/2020,United States,United States,,AMRO,3332,0,334400597,0.996409704,0
3/1/2020,Vietnam,Vietnam,,WPRO,0,0,98871712,0,0
4/1/2020,Argentina,Argentina,Latin America and the Caribbean,AMRO,397,0,45921761,0.864513885,0
4/1/2020,Australia,Australia,Oceania,WPRO,72,0,26017767,0.276733972,0
4/1/2020,Colombia,Colombia,Latin America and the Caribbean,AMRO,259,0,51832231,0.499689083,0
4/1/2020,France,France,Europe,EURO,21037,0,65526369,32.10463256,0
4/1/2020,Germany,Germany,Europe,EURO,6048,0,84252947,7.178383921,0
4/1/2020,India,India,Asia,SEARO,1042,0,1403754381,0.07422951,0
4/1/2020,Indonesia,Indonesia,Asia,SEARO,656,0,278586508,0.235474433,0
4/1/2020,Iran,Iran,,EMRO,6118,0,85874667,7.124336214,0
4/1/2020,Italy,Italy,Europe,EURO,16091,0,60306185,26.68217199,0
4/1/2020,Japan,Japan,Asia,WPRO,359,0,125798669,0.285376628,0
4/1/2020,Mexico,Mexico,Latin America and the Caribbean,AMRO,3917,0,131303955,2.98315462,0
4/1/2020,Netherlands,Netherlands,Europe,EURO,3837,0,17201245,22.30652491,0
4/1/2020,Poland,Poland,Europe,EURO,593,0,37774045,1.569860998,0
4/1/2020,Spain,Spain,Europe,EURO,17086,0,46786482,36.51909541,0
4/1/2020,Turkey,Turkey,Asia,EURO,2913,0,85927644,3.390061527,0
4/1/2020,United Kingdom,United Kingdom,,EURO,24242,0,68510300,35.38446044,0
4/1/2020,United States,United States,,AMRO,57157,0,334400597,17.09237379,0
4/1/2020,Vietnam,Vietnam,,WPRO,0,0,98871712,0,0
5/1/2020,Argentina,Argentina,Latin America and the Caribbean,AMRO,818,0,45921761,1.781290574,0
5/1/2020,Australia,Australia,Oceania,WPRO,12,0,26017767,0.046122329,0
5/1/2020,Colombia,Colombia,Latin America and the Caribbean,AMRO,584,0,51832231,1.126712065,0
5/1/2020,France,France,Europe,EURO,4663,0,65526369,7.116219121,0
5/1/2020,Germany,Germany,Europe,EURO,766,0,84252947,0.909167011,0
5/1/2020,India,India,Asia,SEARO,4090,0,1403754381,0.291361513,0
5/1/2020,Indonesia,Indonesia,Asia,SEARO,821,0,278586508,0.294701996,0
5/1/2020,Iran,Iran,,EMRO,3554,0,85874667,4.138589556,0
5/1/2020,Italy,Italy,Europe,EURO,5658,0,60306185,9.382122248,0
5/1/2020,Japan,Japan,Asia,WPRO,476,0,125798669,0.378382382,0
5/1/2020,Mexico,Mexico,Latin America and the Caribbean,AMRO,15629,0,131303955,11.9029164,0
5/1/2020,Netherlands,Netherlands,Europe,EURO,1237,0,17201245,7.191339929,0
5/1/2020,Poland,Poland,Europe,EURO,437,0,37774045,1.156879016,0
5/1/2020,Spain,Spain,Europe,EURO,3425,0,46786482,7.320490564,0
5/1/2020,Turkey,Turkey,Asia,EURO,1434,0,85927644,1.668845942,0
